Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
65,13,1,66,0,Some Random Commen with Id 65
66,13,1,19,5,Some Random Commen with Id 66
67,13,1,130,9,Some Random Commen with Id 67
68,13,1,9,6,Some Random Commen with Id 68
69,14,2,33,9,Some Random Commen with Id 69
70,14,2,183,3,Some Random Commen with Id 70
71,14,2,112,1,Some Random Commen with Id 71
72,14,2,26,0,Some Random Commen with Id 72
73,14,2,102,4,Some Random Commen with Id 73
74,14,2,25,9,Some Random Commen with Id 74
75,14,2,155,6,Some Random Commen with Id 75
76,15,6,134,6,Some Random Commen with Id 76
77,15,6,146,9,Some Random Commen with Id 77
78,15,6,52,7,Some Random Commen with Id 78
79,15,6,169,6,Some Random Commen with Id 79
80,15,6,114,8,Some Random Commen with Id 80
81,15,6,22,6,Some Random Commen with Id 81
82,15,6,143,6,Some Random Commen with Id 82
83,16,4,96,7,Some Random Commen with Id 83
84,16,4,154,3,Some Random Commen with Id 84
85,16,4,89,1,Some Random Commen with Id 85
86,16,4,88,1,Some Random Commen with Id 86
87,16,4,77,3,Some Random Commen with Id 87
88,16,4,140,4,Some Random Commen with Id 88
89,16,4,27,9,Some Random Commen with Id 89
90,16,4,3,9,Some Random Commen with Id 90
91,16,4,101,7,Some Random Commen with Id 91
92,17,9,93,6,Some Random Commen with Id 92
93,17,9,20,9,Some Random Commen with Id 93
94,17,9,127,4,Some Random Commen with Id 94
95,17,9,45,7,Some Random Commen with Id 95
96,17,9,189,4,Some Random Commen with Id 96
97,17,9,140,8,Some Random Commen with Id 97
98,17,9,123,2,Some Random Commen with Id 98
99,18,1,152,3,Some Random Commen with Id 99
100,18,1,5,3,Some Random Commen with Id 100
101,19,7,44,3,Some Random Commen with Id 101
102,19,7,197,2,Some Random Commen with Id 102
103,19,7,92,6,Some Random Commen with Id 103
104,19,7,169,5,Some Random Commen with Id 104
105,19,7,157,0,Some Random Commen with Id 105
106,19,7,63,2,Some Random Commen with Id 106
107,19,7,47,3,Some Random Commen with Id 107
108,19,7,126,3,Some Random Commen with Id 108
109,19,7,83,6,Some Random Commen with Id 109
110,20,5,23,8,Some Random Commen with Id 110
111,20,5,78,0,Some Random Commen with Id 111
112,20,5,43,0,Some Random Commen with Id 112
113,20,5,1,9,Some Random Commen with Id 113
114,20,5,20,7,Some Random Commen with Id 114
115,20,5,105,3,Some Random Commen with Id 115
116,21,5,63,8,Some Random Commen with Id 116
117,21,5,5,8,Some Random Commen with Id 117
118,21,5,87,5,Some Random Commen with Id 118
119,22,4,109,0,Some Random Commen with Id 119
120,22,4,143,2,Some Random Commen with Id 120
121,22,4,189,4,Some Random Commen with Id 121
122,22,4,20,1,Some Random Commen with Id 122
123,22,4,78,0,Some Random Commen with Id 123
124,22,4,147,7,Some Random Commen with Id 124
125,23,8,146,5,Some Random Commen with Id 125
126,23,8,136,6,Some Random Commen with Id 126
127,23,8,146,8,Some Random Commen with Id 127
128,23,8,159,2,Some Random Commen with Id 128
129,23,8,19,2,Some Random Commen with Id 129
130,23,8,44,7,Some Random Commen with Id 130
131,23,8,2,0,Some Random Commen with Id 131
132,23,8,26,4,Some Random Commen with Id 132
133,25,6,24,1,Some Random Commen with Id 133
134,25,6,142,7,Some Random Commen with Id 134
135,26,8,80,5,Some Random Commen with Id 135
136,26,8,188,0,Some Random Commen with Id 136
137,26,8,137,8,Some Random Commen with Id 137
138,26,8,141,9,Some Random Commen with Id 138
139,26,8,2,5,Some Random Commen with Id 139
140,26,8,98,7,Some Random Commen with Id 140
141,26,8,24,5,Some Random Commen with Id 141
142,26,8,106,4,Some Random Commen with Id 142
143,26,8,104,8,Some Random Commen with Id 143
144,27,7,143,9,Some Random Commen with Id 144
145,27,7,84,9,Some Random Commen with Id 145
146,27,7,196,9,Some Random Commen with Id 146
147,28,2,93,9,Some Random Commen with Id 147
148,28,2,111,2,Some Random Commen with Id 148
149,28,2,195,3,Some Random Commen with Id 149
150,28,2,47,2,Some Random Commen with Id 150
151,28,2,179,1,Some Random Commen with Id 151
152,28,2,95,0,Some Random Commen with Id 152
153,28,2,49,8,Some Random Commen with Id 153
154,28,2,49,8,Some Random Commen with Id 154
155,28,2,131,1,Some Random Commen with Id 155
156,29,3,23,9,Some Random Commen with Id 156
157,29,3,61,1,Some Random Commen with Id 157
158,29,3,170,1,Some Random Commen with Id 158
159,29,3,146,0,Some Random Commen with Id 159
160,29,3,87,4,Some Random Commen with Id 160
161,30,7,32,4,Some Random Commen with Id 161
162,30,7,64,9,Some Random Commen with Id 162
163,30,7,59,7,Some Random Commen with Id 163
164,30,7,160,0,Some Random Commen with Id 164
165,30,7,28,7,Some Random Commen with Id 165
166,31,4,67,3,Some Random Commen with Id 166
167,31,4,137,7,Some Random Commen with Id 167
168,31,4,66,9,Some Random Commen with Id 168
169,31,4,122,0,Some Random Commen with Id 169
170,31,4,118,9,Some Random Commen with Id 170
171,31,4,139,1,Some Random Commen with Id 171
172,32,5,70,7,Some Random Commen with Id 172
173,32,5,61,1,Some Random Commen with Id 173
174,32,5,43,9,Some Random Commen with Id 174
175,32,5,1,6,Some Random Commen with Id 175
176,32,5,93,4,Some Random Commen with Id 176
177,33,7,65,1,Some Random Commen with Id 177
178,33,7,1,5,Some Random Commen with Id 178
179,33,7,92,3,Some Random Commen with Id 179
180,33,7,35,0,Some Random Commen with Id 180
181,33,7,185,9,Some Random Commen with Id 181
182,33,7,50,8,Some Random Commen with Id 182
183,34,2,71,2,Some Random Commen with Id 183
184,34,2,45,4,Some Random Commen with Id 184
185,34,2,185,2,Some Random Commen with Id 185
186,34,2,196,3,Some Random Commen with Id 186
187,34,2,99,8,Some Random Commen with Id 187
188,34,2,157,5,Some Random Commen with Id 188
189,34,2,92,6,Some Random Commen with Id 189
190,34,2,160,5,Some Random Commen with Id 190
191,34,2,99,0,Some Random Commen with Id 191
192,35,5,5,2,Some Random Commen with Id 192
193,35,5,15,3,Some Random Commen with Id 193
194,35,5,157,1,Some Random Commen with Id 194
195,35,5,74,1,Some Random Commen with Id 195
196,35,5,30,5,Some Random Commen with Id 196
197,36,6,112,1,Some Random Commen with Id 197
198,36,6,15,4,Some Random Commen with Id 198
199,36,6,20,9,Some Random Commen with Id 199
200,36,6,127,9,Some Random Commen with Id 200
201,36,6,142,7,Some Random Commen with Id 201
202,36,6,99,4,Some Random Commen with Id 202
203,36,6,78,0,Some Random Commen with Id 203
204,36,6,183,7,Some Random Commen with Id 204
205,37,5,185,4,Some Random Commen with Id 205
206,37,5,29,7,Some Random Commen with Id 206
207,37,5,9,2,Some Random Commen with Id 207
208,37,5,101,6,Some Random Commen with Id 208
209,37,5,3,9,Some Random Commen with Id 209
210,37,5,171,2,Some Random Commen with Id 210
211,38,5,44,4,Some Random Commen with Id 211
212,38,5,187,1,Some Random Commen with Id 212
213,38,5,62,3,Some Random Commen with Id 213
214,38,5,133,4,Some Random Commen with Id 214
